,Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,season
0,1,Milwaukee Bucks,E,C,41,7,0.8540000000000001,12.27,114.62,102.88,11.74,10.95,114.21,103.78,10.44,2019-20
1,2,Los Angeles Lakers,W,P,36,11,0.7659999999999999,6.94,113.38,106.6,6.77,7.22,113.14,106.07,7.07,2019-20
2,3,Dallas Mavericks,W,SW,29,19,0.604,5.85,117.87,111.93,5.94,6.18,118.09,111.86,6.23,2019-20
3,4,Boston Celtics,E,A,32,15,0.6809999999999999,6.87,113.53,106.56,6.97,5.96,113.14,107.11,6.03,2019-20
4,5,Los Angeles Clippers,W,P,33,15,0.688,5.79,113.07,107.44,5.62,6.06,112.8,106.9,5.9,2019-20
5,6,Toronto Raptors,E,A,35,14,0.7140000000000001,6.31,111.85,105.59,6.26,5.73,111.52,105.83,5.69,2019-20
6,7,Utah Jazz,W,NW,32,16,0.667,4.52,112.88,108.05,4.83,4.21,113.04,108.54,4.5,2019-20
7,8,Houston Rockets,W,SW,30,18,0.625,4.02,114.74,110.76,3.98,4.2,114.69,110.52,4.17,2019-20
8,9,Denver Nuggets,W,NW,34,15,0.6940000000000001,3.45,112.41,108.82,3.58,3.28,112.1,108.66,3.44,2019-20
9,10,Philadelphia 76ers,E,A,31,18,0.633,3.47,109.92,106.44,3.48,3.3,109.8,106.48,3.33,2019-20
10,11,Miami Heat,E,SE,32,15,0.6809999999999999,3.64,112.9,109.41,3.49,3.19,112.75,109.69,3.06,2019-20
11,12,Oklahoma City Thunder,W,NW,30,20,0.6,2.66,111.89,109.22,2.66,3.04,111.94,108.9,3.04,2019-20
12,13,Indiana Pacers,E,C,31,17,0.6459999999999999,3.02,112.01,108.83,3.18,2.19,112.03,109.68,2.35,2019-20
13,14,San Antonio Spurs,W,SW,21,26,0.447,-0.81,112.44,113.3,-0.86,-0.39,112.55,113.01,-0.46,2019-20
14,15,New Orleans Pelicans,W,SW,20,29,0.408,-1.92,111.23,113.05,-1.82,-0.65,111.84,112.4,-0.56,2019-20
15,16,Phoenix Suns,W,P,20,28,0.41700000000000004,-0.48,110.84,111.47,-0.63,-0.75,110.51,111.39,-0.88,2019-20
16,17,Portland Trail Blazers,W,NW,22,27,0.449,-1.55,112.31,113.92,-1.61,-0.83,112.71,113.63,-0.91,2019-20
17,18,Orlando Magic,E,SE,21,27,0.43799999999999994,-1.25,106.3,107.72,-1.42,-0.8,106.31,107.28,-0.97,2019-20
18,19,Memphis Grizzlies,W,SW,24,25,0.49,-2.2,110.35,112.48,-2.13,-2.29,110.26,112.49,-2.23,2019-20
19,20,Brooklyn Nets,E,A,21,26,0.447,-1.94,107.55,109.49,-1.94,-2.37,107.56,109.9,-2.34,2019-20
