Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,26,OKC,44,1173,21.1,.609,.003,.424,14.6,23.4,19.2,14.7,1.2,3.6,14.0,17.1,,3.0,1.8,4.8,.197,,1.6,3.3,4.8,2.0
2,Bam Adebayo\adebaba01,PF,22,MIA,47,1621,20.6,.625,.022,.503,8.7,24.1,16.9,21.6,1.7,3.2,17.9,19.9,,3.6,2.6,6.2,.185,,1.1,3.8,5.0,2.8
3,LaMarcus Aldridge\aldrila01,C,34,SAS,43,1426,20.7,.590,.189,.247,6.5,17.4,12.0,11.0,0.9,4.5,7.9,22.9,,3.2,1.2,4.4,.147,,1.7,0.6,2.3,1.6
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,39,494,8.2,.445,.520,.124,1.5,15.4,8.3,20.8,1.0,1.2,13.8,23.0,,-0.6,0.3,-0.3,-0.034,,-3.8,-2.2,-6.0,-0.5
5,Grayson Allen\allengr01,SG,24,MEM,30,498,11.5,.577,.517,.199,1.1,12.9,7.1,11.7,0.6,0.2,10.7,18.0,,0.5,0.1,0.6,.059,,-0.7,-2.9,-3.6,-0.2
6,Jarrett Allen\allenja01,C,21,BRK,47,1282,20.4,.664,.012,.579,11.8,24.0,18.1,7.3,1.2,4.4,12.2,15.0,,3.4,2.1,5.5,.206,,0.2,3.0,3.2,1.7
7,Kadeem Allen\allenka01,SG,27,NYK,9,96,13.5,.483,.381,.190,2.1,6.8,4.4,31.2,2.0,2.0,14.9,23.6,,0.0,0.1,0.0,.019,,-1.5,-2.8,-4.3,-0.1
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,7.8,.395,.419,.337,6.4,18.2,12.1,7.6,2.3,1.9,14.7,13.2,,-0.4,0.6,0.2,.023,,-5.0,2.4,-2.6,-0.1
9,Justin Anderson\anderju01,SF,26,BRK,3,17,-3.8,.218,.500,.333,0.0,11.8,6.1,0.0,0.0,4.8,0.0,16.9,,-0.1,0.0,-0.1,-0.173,,-12.7,-2.8,-15.5,-0.1
10,Kyle Anderson\anderky01,PF,26,MEM,43,742,13.0,.524,.203,.267,5.5,18.6,12.2,15.9,2.0,2.4,15.0,13.8,,0.5,0.8,1.3,.082,,-1.9,1.9,0.0,0.4
11,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.6,.357,.714,.000,0.0,52.0,26.0,20.0,3.3,0.0,12.5,23.4,,0.0,0.0,0.0,-0.026,,-7.1,1.8,-5.3,0.0
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,44,1350,32.6,.610,.249,.511,8.2,32.2,21.0,33.6,1.7,3.1,12.6,37.9,,4.8,3.5,8.2,.293,,7.3,4.9,12.2,4.8
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,5,8.6,,,,0.0,21.4,10.9,22.5,0.0,0.0,,0.0,,0.0,0.0,0.0,.132,,-4.9,1.0,-3.9,0.0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,15,61,13.8,.556,.130,.391,10.4,1.5,5.7,14.1,1.5,1.4,15.6,21.7,,0.1,0.1,0.1,.107,,-1.7,-1.3,-3.0,0.0
15,Carmelo Anthony\anthoca01,PF,35,POR,33,1073,12.9,.516,.273,.193,4.0,16.9,10.5,7.2,1.4,1.4,10.8,22.3,,0.0,0.7,0.8,.034,,-2.1,-1.0,-3.1,-0.3
16,OG Anunoby\anunoog01,SF,22,TOR,48,1400,12.4,.575,.416,.139,3.9,15.3,9.7,8.1,1.7,2.3,11.8,15.0,,1.0,2.3,3.3,.114,,-1.0,2.2,1.3,1.1
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,47,679,8.4,.538,.613,.168,2.2,10.4,6.1,14.6,1.3,0.4,12.6,12.0,,0.5,0.6,1.0,.074,,-2.1,-0.9,-3.1,-0.2
18,Trevor Ariza\arizatr01,SF,34,SAC,32,791,9.6,.543,.739,.164,2.9,18.4,10.4,8.5,2.2,0.8,13.7,11.3,,0.3,0.8,1.2,.070,,-1.3,1.1,-0.2,0.4
19,Trevor Ariza\arizatr01,SF,34,POR,4,145,14.1,.658,.486,.108,1.4,11.8,6.7,6.7,2.9,0.6,9.4,12.5,,0.2,0.1,0.4,.122,,1.1,0.3,1.5,0.1
