Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Milwaukee Bucks,E,C,41,7,.854,12.27,114.62,102.88,11.74,10.95,114.21,103.78,10.44
2,Los Angeles Lakers,W,P,36,11,.766,6.94,113.38,106.60,6.77,7.22,113.14,106.07,7.07
3,Dallas Mavericks,W,SW,29,19,.604,5.85,117.87,111.93,5.94,6.18,118.09,111.86,6.23
4,Boston Celtics,E,A,32,15,.681,6.87,113.53,106.56,6.97,5.96,113.14,107.11,6.03
5,Los Angeles Clippers,W,P,33,15,.688,5.79,113.07,107.44,5.62,6.06,112.80,106.90,5.90
6,Toronto Raptors,E,A,35,14,.714,6.31,111.85,105.59,6.26,5.73,111.52,105.83,5.69
7,Utah Jazz,W,NW,32,16,.667,4.52,112.88,108.05,4.83,4.21,113.04,108.54,4.50
8,Houston Rockets,W,SW,30,18,.625,4.02,114.74,110.76,3.98,4.20,114.69,110.52,4.17
9,Denver Nuggets,W,NW,34,15,.694,3.45,112.41,108.82,3.58,3.28,112.10,108.66,3.44
10,Philadelphia 76ers,E,A,31,18,.633,3.47,109.92,106.44,3.48,3.30,109.80,106.48,3.33
11,Miami Heat,E,SE,32,15,.681,3.64,112.90,109.41,3.49,3.19,112.75,109.69,3.06
12,Oklahoma City Thunder,W,NW,30,20,.600,2.66,111.89,109.22,2.66,3.04,111.94,108.90,3.04
13,Indiana Pacers,E,C,31,17,.646,3.02,112.01,108.83,3.18,2.19,112.03,109.68,2.35
14,San Antonio Spurs,W,SW,21,26,.447,-0.81,112.44,113.30,-0.86,-0.39,112.55,113.01,-0.46
15,New Orleans Pelicans,W,SW,20,29,.408,-1.92,111.23,113.05,-1.82,-0.65,111.84,112.40,-0.56
16,Phoenix Suns,W,P,20,28,.417,-0.48,110.84,111.47,-0.63,-0.75,110.51,111.39,-0.88
17,Portland Trail Blazers,W,NW,22,27,.449,-1.55,112.31,113.92,-1.61,-0.83,112.71,113.63,-0.91
18,Orlando Magic,E,SE,21,27,.438,-1.25,106.30,107.72,-1.42,-0.80,106.31,107.28,-0.97
19,Memphis Grizzlies,W,SW,24,25,.490,-2.20,110.35,112.48,-2.13,-2.29,110.26,112.49,-2.23
20,Brooklyn Nets,E,A,21,26,.447,-1.94,107.55,109.49,-1.94,-2.37,107.56,109.90,-2.34
21,Sacramento Kings,W,P,18,30,.375,-2.94,109.24,112.12,-2.88,-2.59,109.34,111.86,-2.53
22,Chicago Bulls,E,C,19,32,.373,-2.31,106.67,109.02,-2.35,-2.96,106.23,109.24,-3.00
23,Detroit Pistons,E,C,17,33,.340,-2.44,110.44,112.82,-2.38,-3.41,109.99,113.33,-3.34
24,Minnesota Timberwolves,W,NW,15,32,.319,-3.70,107.85,111.45,-3.60,-3.54,107.58,111.01,-3.43
25,Washington Wizards,E,SE,16,31,.340,-5.23,112.80,117.76,-4.95,-5.44,113.07,118.25,-5.18
26,New York Knicks,E,A,13,36,.265,-7.69,105.63,113.30,-7.67,-7.16,105.93,113.10,-7.16
27,Atlanta Hawks,E,SE,13,36,.265,-8.86,105.65,114.01,-8.35,-7.86,106.49,113.89,-7.40
28,Charlotte Hornets,E,SE,16,32,.333,-7.19,106.96,114.30,-7.35,-7.51,106.92,114.58,-7.66
29,Golden State Warriors,W,P,10,39,.204,-8.71,104.91,113.72,-8.81,-7.97,105.05,113.09,-8.04
30,Cleveland Cavaliers,E,C,13,36,.265,-8.78,107.03,115.99,-8.96,-8.19,107.63,116.02,-8.39
