,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,6FT_FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,6FT_PLUSMINUS,season,3P_FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,3P_PLUSMINUS
0,201577,Robin Lopez,1610612757,POR,C,26.0,82,82,0.488,3.66,7.83,0.467,0.594,-0.127,2013-14,0.068,0.34,1.1,0.311,0.342,-0.031
1,201586,Serge Ibaka,1610612760,OKC,F-C,24.0,81,81,0.489,3.74,7.67,0.488,0.599,-0.111,2013-14,0.154,0.93,2.42,0.383,0.358,0.024
2,2200,Pau Gasol,1610612747,LAL,C-F,33.0,60,60,0.518,4.53,7.58,0.598,0.603,-0.005,2013-14,0.069,0.32,1.02,0.311,0.364,-0.052
3,201599,DeAndre Jordan,1610612746,LAC,C,25.0,81,81,0.452,4.23,7.56,0.56,0.601,-0.04,2013-14,0.086,0.48,1.43,0.336,0.36,-0.024
4,101162,Marcin Gortat,1610612764,WAS,C,30.0,80,79,0.494,4.08,7.55,0.54,0.597,-0.057,2013-14,0.083,0.45,1.28,0.353,0.362,-0.01
5,201150,Spencer Hawes,1610612739,CLE,C,26.0,80,79,0.455,4.13,7.31,0.564,0.598,-0.034,2013-14,0.125,0.64,2.0,0.319,0.355,-0.036
6,201567,Kevin Love,1610612750,MIN,F-C,25.0,77,77,0.464,4.53,7.04,0.644,0.601,0.043,2013-14,0.137,0.71,2.08,0.344,0.352,-0.008
7,201579,Roy Hibbert,1610612754,IND,C,27.0,81,80,0.48,2.93,6.72,0.436,0.595,-0.159,2013-14,0.054,0.27,0.75,0.361,0.347,0.013
8,203083,Andre Drummond,1610612765,DET,C,20.0,81,79,0.508,3.74,6.68,0.56,0.59,-0.03,2013-14,0.105,0.49,1.38,0.357,0.353,0.004
9,1495,Tim Duncan,1610612759,SAS,F,38.0,74,74,0.506,3.42,6.62,0.516,0.603,-0.086,2013-14,0.046,0.16,0.61,0.267,0.347,-0.08
10,201572,Brook Lopez,1610612751,BKN,C,26.0,17,17,0.431,2.94,6.59,0.446,0.589,-0.143,2013-14,0.085,0.47,1.29,0.364,0.355,0.009
11,200794,Paul Millsap,1610612737,ATL,F,29.0,72,72,0.434,3.75,6.51,0.576,0.597,-0.021,2013-14,0.2,1.06,3.0,0.352,0.357,-0.005
12,202324,Derrick Favors,1610612762,UTA,C-F,22.0,73,73,0.48,3.41,6.34,0.538,0.597,-0.059,2013-14,0.102,0.53,1.34,0.398,0.358,0.04
13,202685,Jonas Valanciunas,1610612761,TOR,C,22.0,80,80,0.51,3.25,6.19,0.525,0.597,-0.072,2013-14,0.072,0.29,0.88,0.329,0.35,-0.022
14,203101,Miles Plumlee,1610612756,PHX,C-F,25.0,80,80,0.551,3.33,6.19,0.537,0.599,-0.062,2013-14,0.058,0.28,0.65,0.423,0.352,0.071
15,2744,Al Jefferson,1610612766,CHA,C,29.0,72,72,0.435,3.61,6.03,0.599,0.593,0.006,2013-14,0.057,0.31,0.79,0.386,0.336,0.05
16,2730,Dwight Howard,1610612745,HOU,C-F,28.0,71,71,0.47,3.32,5.99,0.555,0.604,-0.049,2013-14,0.08,0.38,1.01,0.375,0.367,0.008
17,200746,LaMarcus Aldridge,1610612757,POR,F,28.0,69,69,0.39,3.22,5.87,0.548,0.6,-0.051,2013-14,0.146,0.86,2.2,0.388,0.358,0.03
18,2199,Tyson Chandler,1610612752,NYK,C,31.0,52,52,0.445,3.35,5.71,0.586,0.596,-0.01,2013-14,0.15,0.54,1.92,0.28,0.357,-0.077
19,203076,Anthony Davis,1610612740,NOP,F-C,21.0,65,63,0.403,2.98,5.66,0.527,0.6,-0.073,2013-14,0.216,1.06,3.03,0.35,0.359,-0.009
20,201149,Joakim Noah,1610612741,CHI,C,29.0,80,80,0.362,2.89,5.64,0.512,0.598,-0.086,2013-14,0.161,0.91,2.5,0.365,0.359,0.006
21,202326,DeMarcus Cousins,1610612758,SAC,C,23.0,70,68,0.438,3.07,5.63,0.546,0.601,-0.055,2013-14,0.107,0.46,1.37,0.333,0.361,-0.028
22,2746,Josh Smith,1610612765,DET,F,28.0,77,77,0.405,3.01,5.57,0.541,0.598,-0.057,2013-14,0.282,1.39,3.88,0.358,0.363,-0.005
23,201143,Al Horford,1610612737,ATL,C-F,28.0,28,28,0.427,2.68,5.5,0.487,0.595,-0.108,2013-14,0.111,0.5,1.43,0.35,0.342,0.008
24,202328,Greg Monroe,1610612765,DET,F-C,24.0,82,79,0.435,3.22,5.5,0.585,0.592,-0.007,2013-14,0.162,0.79,2.05,0.387,0.361,0.026
25,101161,Amir Johnson,1610612761,TOR,F,27.0,76,75,0.468,3.01,5.5,0.548,0.597,-0.049,2013-14,0.149,0.63,1.75,0.361,0.35,0.011
26,101106,Andrew Bogut,1610612744,GSW,C,29.0,65,65,0.482,2.71,5.49,0.493,0.601,-0.108,2013-14,0.065,0.22,0.74,0.292,0.348,-0.056
27,201160,Jason Smith,1610612740,NOP,C-F,28.0,31,31,0.438,3.58,5.45,0.657,0.605,0.051,2013-14,0.135,0.61,1.68,0.365,0.37,-0.004
28,2547,Chris Bosh,1610612748,MIA,C-F,30.0,78,78,0.408,3.22,5.44,0.592,0.592,0.0,2013-14,0.156,0.65,2.08,0.315,0.361,-0.046
29,203093,Terrence Jones,1610612745,HOU,F,22.0,75,72,0.416,3.25,5.43,0.6,0.598,0.002,2013-14,0.2,0.85,2.61,0.327,0.362,-0.035
30,203096,Jared Sullinger,1610612738,BOS,C-F,22.0,73,71,0.45,3.15,5.4,0.584,0.588,-0.004,2013-14,0.105,0.34,1.26,0.272,0.343,-0.071
31,101112,Channing Frye,1610612756,PHX,F-C,31.0,82,81,0.423,3.18,5.35,0.595,0.595,-0.001,2013-14,0.149,0.77,1.89,0.406,0.359,0.047
32,202696,Nikola Vucevic,1610612753,ORL,C,23.0,57,57,0.42,3.11,5.32,0.584,0.6,-0.016,2013-14,0.094,0.54,1.19,0.456,0.364,0.092
33,201593,Nikola Pekovic,1610612750,MIN,C,28.0,54,53,0.423,3.15,5.28,0.596,0.604,-0.008,2013-14,0.086,0.41,1.07,0.379,0.359,0.021
34,1717,Dirk Nowitzki,1610612742,DAL,F,36.0,80,79,0.417,3.09,5.28,0.585,0.604,-0.019,2013-14,0.212,0.89,2.68,0.332,0.362,-0.03
35,201188,Marc Gasol,1610612763,MEM,C,29.0,58,57,0.451,2.91,5.21,0.56,0.608,-0.048,2013-14,0.114,0.48,1.31,0.368,0.361,0.007
36,202336,Larry Sanders,1610612749,MIL,C,25.0,22,22,0.487,2.5,5.09,0.491,0.603,-0.112,2013-14,0.1,0.32,1.05,0.304,0.367,-0.062
37,201583,Ryan Anderson,1610612740,NOP,F,26.0,22,22,0.395,3.32,5.05,0.658,0.594,0.064,2013-14,0.164,0.55,2.09,0.261,0.355,-0.094
38,202683,Enes Kanter,1610612762,UTA,C,22.0,80,80,0.449,2.83,4.99,0.566,0.601,-0.034,2013-14,0.094,0.41,1.05,0.393,0.358,0.035
39,2549,Chris Kaman,1610612747,LAL,C,32.0,39,37,0.504,2.15,4.95,0.435,0.599,-0.164,2013-14,0.112,0.28,1.1,0.256,0.35,-0.094
40,201941,Jordan Hill,1610612747,LAL,F-C,26.0,71,68,0.499,2.58,4.89,0.527,0.593,-0.065,2013-14,0.132,0.45,1.3,0.348,0.359,-0.011
41,2216,Zach Randolph,1610612763,MEM,F,32.0,78,76,0.379,2.92,4.85,0.603,0.605,-0.002,2013-14,0.173,0.91,2.22,0.41,0.36,0.05
42,203089,John Henson,1610612749,MIL,C-F,23.0,69,69,0.461,2.74,4.81,0.569,0.595,-0.026,2013-14,0.158,0.55,1.65,0.333,0.353,-0.02
43,101142,Ronny Turiaf,1610612750,MIN,C,31.0,31,29,0.56,2.29,4.81,0.477,0.597,-0.121,2013-14,0.071,0.32,0.61,0.526,0.342,0.185
44,101141,Ersan Ilyasova,1610612749,MIL,F,27.0,54,50,0.472,3.07,4.8,0.641,0.594,0.047,2013-14,0.171,0.7,1.74,0.404,0.363,0.041
45,202389,Timofey Mozgov,1610612743,DEN,C,27.0,80,79,0.445,2.43,4.75,0.511,0.593,-0.083,2013-14,0.088,0.38,0.94,0.4,0.361,0.039
46,201581,JJ Hickson,1610612743,DEN,C-F,25.0,69,68,0.417,2.94,4.72,0.623,0.596,0.026,2013-14,0.155,0.59,1.75,0.339,0.357,-0.018
