,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,season
0,1610612737,Atlanta Hawks,82,38,44,0.463,3966.0,0.515,0.266,0.159,0.256,0.51,0.262,0.158,0.289,1,18,18,18,15,9,21,21,28,19,9,9,13,10,Atlanta Hawks,2013-14
1,1610612738,Boston Celtics,82,25,57,0.305,3946.0,0.477,0.248,0.163,0.314,0.505,0.299,0.151,0.292,1,26,26,26,29,28,25,28,7,16,19,18,16,10,Boston Celtics,2013-14
2,1610612751,Brooklyn Nets,82,44,38,0.537,3976.0,0.514,0.313,0.155,0.26,0.509,0.311,0.169,0.314,1,14,14,14,7,10,5,16,27,18,25,2,26,10,Brooklyn Nets,2013-14
3,1610612766,Charlotte Bobcats,82,43,39,0.524,3981.0,0.481,0.297,0.131,0.269,0.491,0.241,0.142,0.27,1,16,16,16,6,25,10,1,24,9,2,28,1,10,Charlotte Bobcats,2013-14
4,1610612741,Chicago Bulls,82,48,34,0.585,3986.0,0.471,0.29,0.162,0.321,0.471,0.25,0.156,0.287,1,11,11,11,4,30,14,27,3,2,4,13,12,10,Chicago Bulls,2013-14
5,1610612739,Cleveland Cavaliers,82,33,49,0.402,3986.0,0.479,0.268,0.149,0.314,0.508,0.263,0.147,0.289,1,22,22,22,4,27,20,8,8,17,10,20,14,10,Cleveland Cavaliers,2013-14
6,1610612742,Dallas Mavericks,82,49,33,0.598,3966.0,0.526,0.253,0.141,0.276,0.515,0.303,0.167,0.306,1,10,10,10,15,4,23,4,23,24,21,4,22,10,Dallas Mavericks,2013-14
7,1610612743,Denver Nuggets,82,36,46,0.439,3951.0,0.497,0.306,0.16,0.31,0.5,0.306,0.145,0.297,1,20,20,20,28,16,7,24,11,13,23,23,18,10,Denver Nuggets,2013-14
8,1610612765,Detroit Pistons,82,29,53,0.354,3956.0,0.482,0.296,0.152,0.347,0.52,0.288,0.156,0.307,1,23,23,23,22,24,11,12,1,29,15,14,24,10,Detroit Pistons,2013-14
9,1610612744,Golden State Warriors,82,51,31,0.622,3966.0,0.517,0.247,0.155,0.284,0.477,0.292,0.153,0.276,1,8,8,8,15,8,29,15,22,3,16,17,4,10,Golden State Warriors,2013-14
