,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ_x,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS_x,season,FREQ_y,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS_y
0,202355,Hassan Whiteside,1610612757,POR,C,30.0,50,50,0.595,5.1,10.04,0.508,0.618,-0.11,2019-20,0.174,1.2,2.94,0.408,0.346,0.062
1,203991,Clint Capela,1610612737,ATL,C,25.0,39,39,0.527,5.46,9.56,0.571,0.615,-0.044,2019-20,0.21,1.18,3.82,0.309,0.355,-0.047
2,203497,Rudy Gobert,1610612762,UTA,C,27.0,52,52,0.455,4.54,9.29,0.489,0.604,-0.116,2019-20,0.213,1.5,4.35,0.345,0.354,-0.009
3,203083,Andre Drummond,1610612739,CLE,C,26.0,50,49,0.538,4.62,8.38,0.551,0.623,-0.072,2019-20,0.189,1.26,2.94,0.429,0.344,0.084
4,203954,Joel Embiid,1610612755,PHI,C-F,25.0,39,39,0.539,4.97,8.28,0.601,0.623,-0.022,2019-20,0.167,0.85,2.56,0.33,0.338,-0.008
5,1626167,Myles Turner,1610612754,IND,C-F,23.0,45,45,0.604,3.96,7.89,0.501,0.612,-0.111,2019-20,0.201,1.13,2.62,0.432,0.357,0.076
6,201572,Brook Lopez,1610612749,MIL,C,31.0,51,51,0.459,3.37,7.8,0.432,0.607,-0.175,2019-20,0.277,1.76,4.71,0.375,0.343,0.032
7,202696,Nikola Vucevic,1610612753,ORL,C,29.0,43,43,0.469,4.49,7.77,0.578,0.62,-0.042,2019-20,0.199,1.3,3.3,0.394,0.342,0.052
8,1628381,John Collins,1610612737,ATL,F,22.0,30,30,0.493,4.17,7.5,0.556,0.599,-0.043,2019-20,0.309,1.57,4.7,0.333,0.357,-0.024
9,1629028,Deandre Ayton,1610612756,PHX,C,21.0,23,23,0.37,3.87,7.39,0.524,0.607,-0.084,2019-20,0.292,1.83,5.83,0.313,0.356,-0.042
10,203999,Nikola Jokic,1610612743,DEN,C,24.0,55,55,0.504,4.75,7.38,0.643,0.633,0.01,2019-20,0.238,1.36,3.49,0.391,0.358,0.033
11,1626157,Karl-Anthony Towns,1610612750,MIN,C-F,24.0,35,35,0.449,3.77,7.37,0.512,0.614,-0.102,2019-20,0.232,1.49,3.8,0.391,0.351,0.04
12,1628386,Jarrett Allen,1610612751,BKN,C,21.0,53,52,0.505,3.7,7.32,0.505,0.605,-0.1,2019-20,0.168,0.75,2.43,0.31,0.354,-0.044
13,204001,Kristaps Porzingis,1610612742,DAL,F-C,24.0,41,41,0.482,3.68,7.2,0.512,0.612,-0.1,2019-20,0.289,1.76,4.32,0.407,0.357,0.049
14,1628976,Wendell Carter Jr.,1610612741,CHI,C-F,20.0,37,37,0.589,3.95,7.14,0.553,0.619,-0.066,2019-20,0.179,0.89,2.16,0.413,0.329,0.083
15,1628380,Zach Collins,1610612757,POR,F-C,22.0,3,3,0.389,3.0,7.0,0.429,0.601,-0.173,2019-20,0.315,1.0,5.67,0.176,0.35,-0.173
16,202684,Tristan Thompson,1610612739,CLE,C-F,28.0,50,50,0.45,3.9,6.96,0.56,0.603,-0.043,2019-20,0.273,1.54,4.22,0.365,0.351,0.014
17,1627734,Domantas Sabonis,1610612754,IND,F-C,23.0,52,52,0.466,4.08,6.96,0.586,0.609,-0.024,2019-20,0.284,1.5,4.23,0.355,0.357,-0.003
18,1626158,Richaun Holmes,1610612758,SAC,F,26.0,37,37,0.54,3.68,6.78,0.542,0.604,-0.062,2019-20,0.213,0.92,2.68,0.343,0.349,-0.006
